qShort qLong baseline 
52163 95283 507 
53296 84397 473 
50073 86820 459 
53573 95066 481 
55010 92975 453 
52461 91267 455 
53226 82416 495 
53094 102256 478 
54894 96807 448 
58398 106447 440 
53990 95941 484 
56488 103201 437 
72758 111270 389 
55623 89956 482 
52656 98173 489 
56331 97640 448 
49631 93182 431 
51857 99725 436 
48050 59603 550 
56499 106990 412 
55188 89603 477 
54076 88584 522 
55596 100709 434 
5016 71808 270 
45143 78444 442 
53330 97690 463 
52300 88602 439 
52770 90040 440 
46986 67274 524 
103347 165622 320 
54628 95403 445 
55589 99468 423 
54209 101141 472 
54602 94687 412 
59219 120029 351 
51610 86076 499 
52620 86121 506 
125372 188928 411 
51439 84417 504 
53035 91175 462 
61168 117539 417 
53117 96875 429 
50087 81682 497 
52177 95705 462 
52725 84526 466 
54527 87526 515 
54245 101676 444 
49546 82271 480 
53480 93671 433 
56926 96719 476 
51297 95044 451 
55339 95433 449 
52085 93056 477 
50796 80127 504 
50153 92727 449 
54006 100126 435 
56163 98189 484 
-5468 45845 382 
105341 169622 328 
55201 94575 458 
49649 84750 508 
56345 115273 377 
56067 96618 520 
53220 97167 449 
49509 83448 483 
51767 80338 487 
88747 146094 322 
47168 71618 509 
54310 94540 482 
53211 84305 485 
52329 90035 454 
52727 95175 469 
51222 90014 450 
53467 88816 433 
52123 78691 504 
57454 102876 510 
47863 65752 458 
80643 143496 402 
57039 96480 502 
43033 84144 454 
55846 90688 461 
53290 95321 470 
55709 98361 481 
53217 92389 453 
53801 87319 459 
52953 90128 493 
53961 86591 474 
59033 112509 414 
55478 92078 489 
51879 89369 517 
53229 92537 449 
51804 94455 451 
53626 96598 474 
56572 100175 451 
47940 78480 482 
54732 101280 448 
54859 107187 483 
54130 100292 440 
41359 44066 567 
107044 156460 378 
28731 9374 594 
55763 101255 417 
54621 104774 411 
55244 96211 486 
54288 103182 431 
56625 80272 532 
51352 93156 479 
54141 94297 461 
55777 91263 484 
53050 97871 459 
54704 101628 453 
49896 92189 454 
51575 85645 461 
49319 89811 479 
53602 92782 441 
56430 99292 445 
44235 55653 549 
40060 42727 596 
62930 118867 387 
53713 97582 463 
50977 91227 479 
54940 95106 448 
55322 94787 440 
53020 93448 479 
54904 93986 474 
53019 97656 434 
55201 85951 513 
52143 91535 463 
56944 109734 425 
51146 91399 433 
52800 92424 479 
54694 98554 454 
55081 104558 426 
-55 61582 252 
52651 82377 498 
47421 77790 503 
54396 96734 458 
52763 93201 457 
56082 114450 434 
57273 100674 468 
54498 115156 429 
51633 82985 507 
51375 89974 420 
56797 80488 496 
47137 47762 513 
54116 101667 474 
56944 100141 470 
51633 92231 464 
12146 86043 293 
54199 94029 481 
50717 88616 498 
72999 143885 415 
56240 99965 443 
51642 86077 489 
6921 76433 345 
48900 82889 469 
58127 102786 423 
60317 97013 511 
49558 74956 506 
57099 111653 456 
54743 91864 472 
53990 109701 386 
52355 95985 459 
54324 96198 454 
53603 97639 465 
-1385 80123 244 
51804 95931 485 
55290 94546 446 
52902 95674 453 
54645 95972 478 
57780 104066 432 
53842 98768 458 
52995 97597 481 
49518 75432 547 
54930 93587 450 
53015 94028 452 
54600 95451 473 
52257 92138 451 
54755 94284 469 
57498 104959 445 
15840 84945 361 
54892 95636 497 
51222 95671 425 
45015 54448 527 
57831 92020 490 
58706 118252 381 
53988 85832 468 
52851 88525 484 
52635 90404 502 
55306 96552 455 
53457 104070 445 
55089 94817 490 
53962 95440 450 
54853 90570 443 
52344 94112 474 
56863 87408 502 
51651 91712 446 
52546 83203 478 
53252 80133 567 
54138 101382 412 
51610 81994 422 
100673 139975 343 
69552 135028 446 
55255 69881 531 
53917 95359 462 
55101 95375 473 
52865 101786 442 
55280 98527 435 
52467 95358 473 
78362 133673 401 
51640 92674 448 
53956 95755 469 
55570 102252 438 
53345 93611 454 
59590 119818 381 
53090 94543 479 
55937 97439 467 
51816 93086 451 
54180 101116 436 
51825 95997 476 
54482 96966 457 
56067 102680 403 
49336 64072 546 
63685 131485 411 
72887 138546 432 
51660 93331 448 
49086 72183 574 
51862 87467 441 
57689 95550 441 
53450 92115 491 
52477 88077 476 
55776 97920 436 
53344 93630 493 
52914 85980 506 
48662 82633 479 
53671 91530 442 
52766 97179 471 
28693 -25520 713 
50778 86479 469 
54956 98368 483 
49999 86575 498 
49965 60916 557 
44355 64399 489 
39018 84269 384 
52470 91577 455 
56417 99716 443 
62197 113364 426 
2323 39786 415 
55160 90613 513 
52591 93895 449 
52125 92814 441 
52294 97148 475 
54500 105381 432 
56662 88333 480 
52466 94656 476 
53909 91792 509 
48736 86047 456 
51792 88358 470 
54870 94577 478 
4628 41353 430 
53217 100882 447 
53566 94180 456 
53970 101982 458 
50478 79619 516 
53688 87074 461 
43836 84532 395 
53113 74385 558 
50769 86666 471 
49719 74513 526 
67952 132228 390 
50572 93655 495 
53572 101819 395 
53153 98870 458 
53742 93698 480 
52977 91398 436 
56766 103905 428 
54818 94867 471 
-7864 38932 351 
53078 92270 486 
53308 90899 449 
48346 83954 446 
53951 86264 534 
55156 90069 469 
68932 129318 347 
52564 96527 472 
60941 117746 411 
50040 87725 469 
56691 104105 450 
52643 87600 492 
4731 75674 321 
51805 91395 462 
53106 87498 444 
54886 95325 481 
53787 97091 467 
55406 101359 434 
51175 80981 490 
54488 89461 466 
51567 83523 480 
54414 95740 432 
52944 98935 470 
53776 97254 464 
51717 94853 450 
52268 88463 482 
54706 91007 477 
50619 79787 471 
53814 89915 425 
55282 106754 463 
26197 16776 612 
51451 86577 466 
54509 87415 441 
47564 77585 442 
24267 22170 560 
50283 83094 451 
53082 102751 470 
59653 120891 455 
50889 90787 454 
55129 100864 472 
57473 113783 458 
51486 94866 441 
55787 102175 427 
53329 100276 469 
53354 93194 463 
52030 93945 454 
52553 89028 537 
43608 55255 551 
103930 149250 320 
58946 88435 483 
52296 78417 551 
53612 93494 459 
58699 101303 436 
53286 90424 489 
55585 96268 495 
54477 102122 441 
54470 92721 453 
54053 99723 474 
54963 104902 441 
51937 93188 462 
55363 101560 466 
55268 93984 492 
49628 87946 461 
54509 96332 448 
53425 100165 477 
52825 82348 455 
47925 79101 482 
53202 96827 473 
48605 79902 536 
59726 108595 425 
45446 54416 494 
47862 86500 478 
2751 76193 302 
52688 91325 468 
51962 72309 450 
52626 83168 495 
53807 87785 533 
53767 97638 442 
56211 108980 426 
58997 112766 447 
52671 97802 439 
48318 75826 478 
53816 90995 512 
52379 81153 537 
59449 99941 464 
53428 89982 482 
52636 89251 476 
53884 90420 446 
49077 78901 432 
53245 102407 395 
106699 172473 324 
56413 94157 501 
51109 92989 464 
52904 88700 490 
56483 103101 429 
54004 97183 441 
54867 96677 468 
52695 100268 457 
53730 96071 446 
50188 78884 477 
55867 106647 448 
51244 88970 457 
54497 106394 415 
51099 102850 448 
82649 132790 404 
53767 94028 439 
57276 123421 415 
53013 96909 471 
56448 105552 442 
56409 101676 407 
50353 101095 437 
56512 109315 473 
52302 97725 415 
53485 106660 402 
48708 74518 459 
53676 86321 466 
51866 84161 433 
54120 98269 477 
54276 87208 497 
58689 113899 398 
-9157 40490 277 
51774 96575 465 
53316 94022 476 
51912 78960 488 
61754 134088 394 
53275 99404 463 
54544 89070 480 
55572 101252 454 
49543 89226 447 
63674 99419 466 
66684 134583 398 
52830 95258 448 
57755 122726 441 
52292 94288 438 
57860 106035 427 
55977 104392 459 
52442 93491 495 
53324 93275 451 
56066 104745 415 
53256 93982 478 
5015 66021 345 
53735 96796 445 
53142 94152 453 
54195 97466 471 
52540 94204 494 
55367 96648 451 
52679 94664 452 
53982 92872 486 
45354 73227 504 
53789 96422 453 
7227 85844 241 
51690 96645 460 
54997 97440 498 
42273 44496 575 
102868 150747 352 
53466 117084 467 
48387 69460 483 
26560 13120 660 
58245 103973 473 
59186 111102 481 
54249 104690 430 
54478 97844 454 
51438 96518 470 
44632 60205 524 
50238 94469 457 
52896 93117 466 
49608 86003 510 
52595 91988 440 
59988 127725 407 
50967 91167 464 
52186 57173 584 
62723 112343 431 
55923 86801 594 
92073 165277 439 
57277 116056 409 
4592 44264 375 
51014 86805 479 
53504 92671 478 
50210 83511 462 
52226 92763 433 
55366 100141 459 
50976 95627 469 
54174 96639 443 
57034 111056 453 
53076 94447 471 
52702 80460 503 
50835 89280 428 
54796 96092 477 
51449 93190 477 
53592 94041 447 
50722 92930 471 
53156 91080 475 
55083 103601 429 
50987 92490 412 
53677 88341 471 
106403 155893 354 
57551 117292 411 
51487 87262 421 
57921 105025 459 
54247 82059 483 
51331 82235 451 
53053 85422 475 
53767 97360 458 
53144 93780 445 
54303 89178 496 
52274 97736 472 
49203 77072 501 
51304 86737 428 
53469 95859 472 
46875 74910 535 
60022 126581 386 
55406 97558 479 
55434 110455 454 
52423 91611 471 
64661 128946 373 
53797 85611 492 
53937 91940 470 
50895 87641 462 
48876 79457 494 
56928 105099 471 
53198 95761 447 
52207 81271 462 
51364 90490 487 
53393 92813 460 
55424 89475 453 
53981 102649 455 
55721 93576 506 
53038 96400 447 
54102 98383 444 
51308 92590 487 
53677 94598 458 
54058 94731 451 
51300 92623 467 
52531 81997 521 
57059 109183 396 
51106 81668 485 
45716 73364 499 
49559 79452 455 
47398 64427 512 
57411 101312 417 
52344 74169 543 
20577 6303 527 
48946 73565 520 
56270 106557 453 
50015 84507 461 
54365 98115 453 
54868 102050 466 
53706 93086 487 
55940 99059 443 
59946 109004 425 
55732 103944 461 
51128 78934 476 
52277 76449 454 
33262 55323 501 
53710 91862 519 
54170 85447 435 
55199 96743 466 
54318 87639 493 
55106 94965 450 
53159 94481 442 
55492 99301 455 
53591 96201 472 
54486 92748 450 
52548 93410 464 
54535 93980 476 
51812 93735 447 
-4196 60741 245 
54750 105910 404 
49119 88741 498 
51967 90397 483 
55244 93886 454 
53040 93836 478 
55151 97136 480 
51755 92638 453 
52527 79177 470 
58615 116480 401 
31686 34803 541 
60088 116490 404 
99352 154490 401 
58951 113904 416 
56594 104610 455 
51099 91157 396 
49759 94405 479 
52561 88308 500 
54276 89599 417 
53354 93378 489 
54274 96740 468 
3683 65033 369 
54634 96128 411 
52281 91641 440 
54340 90703 487 
52086 91872 466 
53494 83464 450 
57561 104943 443 
49950 82676 529 
49621 93338 414 
89426 156345 426 
53118 81016 539 
51446 93967 465 
53469 89840 455 
54083 100591 478 
52627 93998 493 
53606 86916 468 
52319 98299 450 
53071 93653 479 
49134 78693 475 
53026 94786 447 
53424 87383 491 
52146 93627 492 
55372 99102 435 
56363 101988 430 
51341 96309 468 
49985 88975 466 
55432 100487 449 
52701 84379 488 
51339 84466 518 
46116 54612 475 
50813 90795 458 
55007 102920 457 
52847 95707 458 
48163 73396 475 
53214 93834 500 
52066 94468 492 
53477 89958 458 
49142 86117 466 
57889 117693 443 
60502 116088 346 
52944 92419 454 
55714 94131 484 
9332 50584 384 
48193 72753 533 
49537 70388 445 
56853 95785 470 
54051 85289 563 
54226 86930 463 
48732 76633 517 
62710 107100 493 
59931 109338 462 
48170 72952 498 
53899 92196 464 
51136 86312 494 
55364 110217 412 
55598 93441 441 
54192 104114 449 
53401 89950 485 
50958 82959 476 
53758 93886 467 
55081 96493 467 
53423 106687 435 
53796 94593 431 
51269 92667 474 
53703 95248 476 
54985 96714 440 
52432 95890 462 
54842 100132 467 
-4016 87457 218 
58202 99347 470 
49083 82352 438 
42081 96091 430 
58679 111353 450 
50313 83463 427 
54426 88122 483 
52589 99378 425 
54003 93918 477 
53370 89358 463 
51668 93283 470 
53247 84658 490 
51999 92879 443 
44968 63119 580 
48310 80229 498 
51410 80224 484 
51811 83531 469 
53285 95755 479 
43117 49491 485 
56250 107091 405 
47487 51678 525 
78417 149713 407 
53018 94869 456 
50356 67633 433 
54713 110935 461 
52629 90757 469 
48720 80760 473 
50336 86483 482 
54951 94666 482 
52596 92081 458 
1428 62038 285 
60792 119627 405 
52179 95343 478 
54173 98875 452 
56812 97127 447 
54062 103332 458 
7542 76304 407 
55526 100299 482 
50507 89194 470 
54722 98467 448 
54839 92718 485 
52533 88139 478 
53566 95077 449 
50957 86053 488 
51318 90788 526 
74565 137847 342 
115246 183299 310 
52721 87698 484 
51862 89019 473 
62560 115983 373 
50521 87807 436 
62202 128744 458 
54342 96986 440 
55931 100243 438 
53900 96041 475 
55564 98427 424 
51002 88844 442 
54174 92354 480 
72055 139453 468 
53835 92257 445 
55650 101468 442 
57410 110731 495 
