qShort qLong cfd_y1 cfd_y2 baseline height eventCounter eventCounterPSD psdValue 
91485 74177 63 -4 458 2407 736 0 -7645 
84924 77925 58 -5 480 2396 737 0 -2943 
101145 100791 9 -42 438 2396 738 0 -115 
98326 91840 22 -24 458 2383 739 0 -2314 
90616 77903 8 -36 471 2401 740 0 -5347 
81370 119389 8 -64 373 877 741 0 10434 
85982 68242 40 -13 514 2446 742 0 -8518 
87585 71919 15 -35 471 2415 743 0 -7137 
99822 72537 38 -19 467 2465 744 0 -12325 
93335 76962 19 -37 487 2434 745 0 -6970 
133009 141154 33 -160 309 992 746 0 1890 
82520 66662 11 -53 481 2399 747 0 -7794 
108502 108462 56 -6 434 2412 748 0 -12 
91874 79201 28 -37 488 2405 749 0 -5243 
34114 -9515 13 -54 627 2544 750 0 19174 
111215 122998 65 -1 399 2380 751 0 3139 
124514 142022 9 -15 434 2415 752 0 4039 
104616 124219 10 -18 383 2360 753 0 5170 
52771 59470 1 -74 495 2285 754 0 3691 
94479 83912 52 -15 461 2409 755 0 -4126 
95058 89885 43 -22 464 2425 756 0 -1885 
92329 75568 43 -34 512 2446 757 0 -7267 
94935 87329 60 -15 449 2397 758 0 -2853 
95541 84642 65 -3 456 2411 759 0 -4219 
94014 84979 55 -12 482 2423 760 0 -3483 
94586 86325 64 -2 440 2390 761 0 -3135 
97766 87530 55 -11 452 2433 762 0 -3831 
80959 162406 80 -48 239 675 763 0 16432 
94254 85990 4 -39 469 2413 764 0 -3149 
66912 43603 5 -52 545 2415 765 0 -17516 
96628 84692 23 -25 440 2396 766 0 -4617 
103142 94003 39 -20 450 2421 767 0 -3185 
95666 84622 29 -32 485 2437 768 0 -4276 
96094 80206 38 -19 449 2395 769 0 -6490 
84794 73960 42 -23 454 2369 770 0 -4799 
97810 90296 54 -18 470 2422 771 0 -2726 
105530 104259 6 -32 447 2415 772 0 -399 
99241 106960 14 -27 421 2367 773 0 2364 
92171 84705 16 -38 449 2375 774 0 -2888 
110105 115579 47 -7 445 2419 775 0 1551 
119717 147948 2 -9 338 2322 776 0 6252 
114124 105024 51 -20 458 2468 777 0 -2839 
122292 128077 68 -7 487 2480 778 0 1480 
92841 84103 56 -8 479 2418 779 0 -3404 
93123 80954 7 -33 453 2392 780 0 -4925 
109885 119333 33 -16 439 2390 781 0 2594 
93720 87382 23 -36 471 2412 782 0 -2376 
110026 80361 50 -20 482 2508 783 0 -12095 
100790 82891 60 -13 465 2415 784 0 -7075 
93706 81432 49 -25 489 2432 785 0 -4938 
